,experiment_id,trial_id,created_checkpoint_uuid,experiment_seed,checkpoint_uuid,dataset,encoder,freeze_encoder,global_batch_size,img_rescale_size,keep_enc_fc,lr,method,momentum,normalize_data,pred_head_features,pred_head_structure,scheduler,split_seed,split_size,test_augmentation,train_augmentation,use_larc,weight_decay,auroc,ece,test_acc,test_auroc,test_ece,test_f1,test_loss,v_acc,v_f1,v_loss,method_plain,down_ds,method_label,enc_ds_raw,enc_ds
2,11465,83437,2cf5d8e6-95fd-4b1e-a263-dfa7035efcae,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8813140988349915,0.0594699010252952,0.5061281323432922,0.833245575428009,0.1043344140052795,0.4542680978775024,1.5357567071914673,0.534600019454956,0.5375828146934509,1.3147693872451782,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
3,11465,83438,ea59bf7d-5e08-479f-9743-169d18f8e147,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.8804701566696167,0.0469433963298797,0.5678272843360901,0.8407948017120361,0.0758130177855491,0.4769491255283355,1.3646125793457031,0.534500002861023,0.5165634155273438,1.2855373620986938,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
5,11465,83450,95867d3e-7343-41d9-aa88-00d4e4e74866,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9879635572433472,0.0630543678998947,0.8388579487800598,0.978851318359375,0.0717478841543197,0.7894805669784546,0.5110389590263367,0.86080002784729,0.8597800731658936,0.4547319710254669,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
7,11465,83452,0dd08432-febc-4f3c-b94e-2962981e63aa,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9979794025421144,0.0136791076511144,0.9201949834823608,0.9939380288124084,0.004321991931647,0.887618899345398,0.2411998063325882,0.953000009059906,0.9532387852668762,0.143438383936882,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
8,11465,83461,8d424bd6-f9ea-4251-aaac-5cb8c9698c35,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.995866596698761,0.0220743939280509,0.9107242226600648,0.992990791797638,0.0182269643992185,0.8687989115715027,0.2655587196350097,0.930299997329712,0.9309698343276978,0.2112152129411697,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
12,11465,83468,3a66d987-7374-471c-aba0-72ca41072893,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.984986126422882,0.26123908162117,0.8905292749404907,0.9882814884185792,0.3511382937431335,0.8296445608139038,0.7333087921142578,0.8374999761581421,0.8261383175849915,0.7357574701309204,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
16,11465,83479,45dec00f-0a77-46da-9bf4-309ea5a12f36,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9977878928184508,0.0213778745383024,0.9045960903167723,0.9919823408126832,0.0115241752937436,0.8750342726707458,0.2832871675491333,0.9513000249862672,0.952100396156311,0.1571816354990005,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
17,11465,83488,7d72bf4c-6a99-4fa4-b38e-cf1871d2ac70,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9385614395141602,0.0888368859887123,0.6317548751831055,0.8770720958709717,0.1393398195505142,0.574636697769165,1.4846233129501345,0.6858000159263611,0.6864238977432251,1.031387448310852,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
18,11465,83490,df15a792-ffe9-41d7-9b08-db90a0943536,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,True,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.8954832553863525,0.015269074589014,0.5944289565086365,0.852827250957489,0.0340856574475765,0.5058513879776001,1.2913745641708374,0.5691999793052673,0.5476300120353699,1.17621648311615,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
21,11465,83499,8233d060-8dac-4932-9b75-cb8e30071c8d,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,True,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9544196724891664,0.0221514012664556,0.7183843851089478,0.8866271376609802,0.0559785887598991,0.6385973691940308,1.0599334239959717,0.7289000153541565,0.7243423461914062,0.7858604788780212,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
