,experiment_id,trial_id,created_checkpoint_uuid,experiment_seed,checkpoint_uuid,dataset,encoder,freeze_encoder,global_batch_size,img_rescale_size,keep_enc_fc,lr,method,momentum,normalize_data,pred_head_features,pred_head_structure,scheduler,split_seed,split_size,test_augmentation,train_augmentation,use_larc,weight_decay,auroc,ece,test_acc,test_auroc,test_ece,test_f1,test_loss,v_acc,v_f1,v_loss,method_plain,down_ds,method_label,enc_ds_raw,enc_ds
0,11465,83435,90f3d976-2b91-408e-8293-e2558112a0ac,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9049158096313475,0.0586908720433712,0.6594707369804382,0.9131770730018616,0.0910862162709236,0.5872061252593994,1.0209071636199951,0.5784000158309937,0.5586693286895752,1.1492143869400024,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
1,11465,83436,626ab732-d5b9-4db2-b170-43e1f0604af7,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9919182658195496,0.1724216192960739,0.8981894254684448,0.99043869972229,0.179980382323265,0.8599365949630737,0.4451929032802582,0.8804000020027161,0.8804317712783813,0.4756133258342743,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
4,11465,83449,c851570b-3766-4f2d-b898-32e7ca761cbf,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9981617331504822,0.012866798788309,0.9299442768096924,0.9945465922355652,0.0100969988852739,0.904849648475647,0.2221519500017166,0.9581000208854676,0.9588173031806946,0.1303124576807022,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
6,11465,83451,b5bbe94c-ad77-4745-a7b0-7ff7f12bc1a5,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9966059923171996,0.0128779234364628,0.9094707369804382,0.9924166798591614,0.0092214103788137,0.8701165914535522,0.2645089030265808,0.9373999834060668,0.9378725290298462,0.1891901195049286,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
9,11465,83464,5df3736e-6f82-4497-b9fb-1ac3200f337b,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9921523332595824,0.1743488162755966,0.9005571007728577,0.9903090596199036,0.183032214641571,0.8552969694137573,0.4552933871746063,0.8842999935150146,0.8820743560791016,0.4737968146800995,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
10,11465,83465,a5eb6587-279f-4bc6-9452-eae7dbb63777,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9951308369636536,0.0078616654500365,0.8997214436531067,0.9913696646690368,0.018568018451333,0.8650928139686584,0.2996690273284912,0.9241999983787536,0.9248773455619812,0.2253406792879104,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
11,11465,83466,d0f8f9bc-18e4-4b1e-a22a-c632ff3d98fd,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8829206228256226,0.0263295359909534,0.5461002588272095,0.8222954273223877,0.0528085343539714,0.4934746026992798,1.6001794338226318,0.5174000263214111,0.5266128182411194,1.3353424072265625,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
13,11465,83476,a00be947-c6bc-4622-bb29-ee6924ce5bb0,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9954317808151244,0.0202134829014539,0.8750696182250977,0.9792912602424622,0.0437698327004909,0.8246217966079712,0.4411594569683075,0.9272000193595886,0.9279053807258606,0.2230227589607238,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
14,11465,83477,23ac4dfd-56d9-49fd-8be8-9f04e0f58df3,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9357861280441284,0.0495595559477806,0.5998607277870178,0.86553555727005,0.1075709238648414,0.5508956909179688,1.664955496788025,0.6563000082969666,0.6602615118026733,1.0547783374786377,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
15,11465,83478,6be50f2f-3648-41f5-8087-a3e86d538f0b,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.949600338935852,0.0540194474160671,0.7682451009750366,0.9462273716926576,0.0831589102745056,0.6913508176803589,0.7748064398765564,0.6934999823570251,0.6909407377243042,0.8414131999015808,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
19,11465,83491,6ca69f7f-84aa-4527-9450-7087c465ea70,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9224451184272766,0.030466504395008,0.7038997411727905,0.9333505630493164,0.0644750520586967,0.6316480040550232,0.8813017010688782,0.6244000196456909,0.6099679470062256,1.0100524425506592,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
20,11465,83492,763e0c11-f966-4322-9926-88fbfb68228a,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9169303178787231,0.0310161560773849,0.6593315005302429,0.8734283447265625,0.0748815014958381,0.572590172290802,1.1280964612960815,0.6255999803543091,0.6141986846923828,1.057603359222412,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
22,11465,83500,0e94b94d-e96a-4e85-98da-41df90dfd4e4,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9500052332878112,0.0303568132221698,0.6995821595191956,0.89011150598526,0.0764496326446533,0.605711817741394,0.9915823936462402,0.7092999815940857,0.700448751449585,0.8136867880821228,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
23,11465,83501,a88e9555-cd15-4a0a-ab81-d5136c893cca,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.95819091796875,0.0506781414151191,0.7766016721725464,0.9513025283813475,0.0893587321043014,0.69838547706604,0.735896646976471,0.7106000185012817,0.6992793083190918,0.7774484753608704,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
25,11465,83511,acc878f0-f82e-44ce-bce3-e67b68c7e98d,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.942572057247162,0.0474361330270767,0.6991643309593201,0.880146861076355,0.0951554477214813,0.614182710647583,1.375960350036621,0.6848999857902527,0.6802067756652832,0.9364813566207886,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
28,11465,83517,d673adf2-a43a-4bd3-ba9d-494e39b49429,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9853905439376832,0.0704406052827835,0.8006963729858398,0.966940462589264,0.0973045229911804,0.7438472509384155,0.6700776219367981,0.8510000109672546,0.848696231842041,0.5097876787185669,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
31,11465,83531,fe260149-2bfb-46a5-b599-bcd7841dc0e1,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9980087280273438,0.0187812261283397,0.9192200303077698,0.993938446044922,0.0118715995922684,0.8895144462585449,0.2488924860954284,0.9557999968528748,0.9562727212905884,0.1406585425138473,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
32,11465,83532,588f6cb6-7e83-437d-96c3-301cd54b3dfe,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8980908989906311,0.077670469880104,0.5504178404808044,0.837357759475708,0.1005651727318763,0.5024846792221069,1.5289149284362793,0.5777999758720398,0.5843693614006042,1.238490104675293,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
33,11465,83535,8c1b47d2-2fff-444c-a99e-01202b68e251,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9917240142822266,0.1668476164340973,0.893314778804779,0.9902865290641784,0.1821043044328689,0.8488608002662659,0.4641584455966949,0.8751999735832214,0.8726454973220825,0.4827740788459778,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
36,11465,83542,ca58236c-b11c-4053-a270-72d7134304b9,1643118217,,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.9368069171905518,0.0513394325971603,0.6143454313278198,0.9196394681930542,0.101692646741867,0.5647175312042236,1.112033128738403,0.6696000099182129,0.6714432239532471,0.9497846961021424,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
37,11465,83545,9ffd624e-4eb7-40ff-bead-3e3f57133423,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.99520081281662,0.0173887535929679,0.8743732571601868,0.979523241519928,0.0440516658127307,0.8164408802986145,0.4068679213523865,0.9225000143051147,0.9235783815383912,0.2286392301321029,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
39,11465,83553,882895ac-ccb0-4c9b-86bf-96d584fe23fb,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,900,32,96,False,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.984247624874115,0.0709353983402252,0.8353760242462158,0.960168957710266,0.0766087174415588,0.7758108377456665,0.6072993874549866,0.8492000102996826,0.8488895893096924,0.5094884037971497,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
41,11465,83560,66f617b1-6336-4b05-985d-e53f717320e4,1643118217,26249c94-9316-4f6d-8061-04a48c67655a,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.988831102848053,0.0492489449679851,0.8835654854774475,0.9881285429000854,0.0390974432229995,0.8453248739242554,0.3617534339427948,0.8822000026702881,0.8804696202278137,0.3929655849933624,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
44,11465,83568,dba4be67-9653-4644-a8f1-34f5131a096d,1643118217,,kather_h5_224_norm_split_90_10,resnet50,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9039384126663208,0.0445259287953376,0.6218662858009338,0.8551638722419739,0.0825967788696289,0.5323622822761536,1.4958583116531372,0.5827999711036682,0.5632603168487549,1.1936750411987305,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
51,11467,83443,feb10ef5-bb16-4896-9e26-930f56bdf544,1643118217,f3967262-7c4f-43e2-bab9-02dbd7892864,kather_h5_224_norm_split_90_10,resnet18,900,32,96,False,0.005,simsiam,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.9981802105903624,0.0156809668987989,0.9207521080970764,0.9935165047645568,0.0103820851072669,0.891311526298523,0.2428944259881973,0.9577999711036682,0.9581890106201172,0.1320343613624572,simsiam,Kather,SimSiam,kather_h5_224_norm,Kather
52,11467,83453,95462783-213f-4881-89fe-440f16e40b4f,1643118217,,kather_h5_224_norm_split_90_10,resnet18,True,32,96,False,0.005,simsiam-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.08,plain,light_stack,False,0.0001,0.8842605352401733,0.0475517734885215,0.6189414858818054,0.8985945582389832,0.0985575318336486,0.5346249341964722,1.1315057277679443,0.524399995803833,0.496273785829544,1.2729920148849487,simsiam,Kather,simsiam-supervised,kather_h5_224_norm,Kather
